District,Date,temp,humid,wind
Adilabad,2019-03-18,37.20434782608695,59.50434782608695,15.468181818181819
Adilabad,2019-03-19,36.81304347826087,61.69130434782609,14.640909090909092
Adilabad,2019-03-20,37.61304347826087,69.36521739130436,11.436363636363636
Adilabad,2019-03-21,36.92608695652174,75.23478260869565,14.95909090909091
Adilabad,2019-03-22,35.904347826086955,77.6304347826087,11.836363636363636
Adilabad,2019-03-23,37.12173913043478,71.65217391304348,9.113636363636363
Adilabad,2019-03-24,37.69130434782608,58.0,11.936363636363637
Adilabad,2019-03-25,38.004347826086956,50.873913043478254,10.4
Adilabad,2019-03-26,38.917391304347824,55.64782608695653,8.927272727272728
Adilabad,2019-03-27,39.52173913043478,57.665217391304346,10.959090909090909
Adilabad,2019-03-28,38.917391304347824,54.88695652173914,11.427272727272728
